epoch,loss_total,loss_reconstruction,t_fetch_ms,t_move_ms,t_model_ms
0,0.35128726065158844,0.35128726065158844,16.881765890866518,4.4129593938123435,59.7256391949486
1,0.2792618006467819,0.2792618006467819,0.2973692084196955,2.675464190542698,12.205809989245608
2,0.2564781099557877,0.2564781099557877,0.2542653994169086,2.6236767997033894,13.259351090528071
3,0.24645682871341706,0.24645682871341706,0.3058209957089275,2.800491888774559,12.204812106210738
4,0.24404654651880264,0.24404654651880264,0.44403699575923383,3.5940663947258145,12.11293680826202
5,0.24327341616153716,0.24327341616153716,0.2702280005905777,2.7938149054534733,13.275258196517825
6,0.24390959292650222,0.24390959292650222,0.3741194203030318,2.7110013994388282,13.491432293085381
7,0.24117645025253295,0.24117645025253295,0.3344609052874148,2.7172307949513197,13.128872902598232
8,0.23980445712804793,0.23980445712804793,0.40740789263509214,4.785835713846609,11.502685892628506
9,0.2411106199026108,0.2411106199026108,0.4294231825042516,4.042143502738327,11.640170804457739
10,0.23904626965522766,0.23904626965522766,0.41737110004760325,3.457196190720424,11.69554358930327
11,0.24024304300546645,0.24024304300546645,0.35250720102339983,2.853298682020977,12.14457509922795
12,0.2379750207066536,0.2379750207066536,0.5256053991615772,4.197033389937133,11.944597802357748
13,0.2392401233315468,0.2392401233315468,0.5350967985577881,4.750553786288947,11.442741699283943
14,0.23624564409255983,0.23624564409255983,0.4978614975698292,3.911276505095884,13.549651310313493
15,0.23835079967975617,0.23835079967975617,0.3623867058195174,3.611151804216206,13.29791079624556
16,0.23768167197704315,0.23768167197704315,0.4454114940017462,3.8387473905459046,14.124453795375302
17,0.2392279475927353,0.2392279475927353,0.3295435104519129,4.353151598479599,13.03436539019458
18,0.2372620314359665,0.2372620314359665,0.4020247142761946,3.5795778909232467,13.278405898017809
19,0.23790095150470733,0.23790095150470733,0.40397910634055734,4.3121111986692995,12.103680497966707
20,0.23836485743522645,0.23836485743522645,0.40111050475388765,3.932500589871779,12.930837494786829
21,0.23905718624591826,0.23905718624591826,0.40541678899899125,3.7247391999699175,12.431170395575464
22,0.23719048202037812,0.23719048202037812,0.46160240308381617,4.197543405462056,12.681865593185648
23,0.2373361513018608,0.2373361513018608,0.5174305930268019,4.367176600499079,12.35464999335818
24,0.23842880874872208,0.23842880874872208,0.4979211953468621,3.9256222022231673,12.587431404972449
25,0.23764581829309464,0.23764581829309464,0.5060355819296092,4.482234088936821,11.312655487563461
26,0.23726427555084229,0.23726427555084229,0.4943144915159792,4.460557294078171,12.272484897403046
27,0.23659747689962388,0.23659747689962388,0.43971409322693944,3.510364209068939,12.806253792950884
28,0.2364111140370369,0.2364111140370369,0.6214114080648869,4.1453231940977275,11.822901701088995
29,0.2364691212773323,0.2364691212773323,0.4096982011105865,4.211145598674193,12.107814499177039
30,0.23660436421632766,0.23660436421632766,0.5284290993586183,3.799017600249499,12.41500960313715
31,0.23886848390102386,0.23886848390102386,0.6044173089321703,3.980544995283708,12.342182599240914
32,0.23723903000354768,0.23723903000354768,0.38202570867724717,4.318125097779557,11.90362149500288
33,0.23787007182836534,0.23787007182836534,0.4272678983397782,3.7018497998360544,12.544364988571033
34,0.23775784522295,0.23775784522295,0.5380039918236434,3.782529116142541,12.357431091368198
35,0.2360268458724022,0.2360268458724022,0.5009058048017323,3.880728199146688,12.849071808159351
36,0.23741641640663147,0.23741641640663147,0.5098540976177901,4.1061487048864365,12.086987006478012
37,0.23689310997724533,0.23689310997724533,0.39009980391710997,3.4247166011482477,11.82036439422518
38,0.23715988993644715,0.23715988993644715,0.42055301601067185,3.1101558008231223,12.331701203947887
39,0.23681191802024842,0.23681191802024842,0.3745723981410265,3.35593800409697,11.974159104283899
40,0.23629942089319228,0.23629942089319228,0.38729420048184693,3.637557302135974,11.99846428935416
41,0.2356135591864586,0.2356135591864586,0.40785690071061254,3.2782518945168704,12.520506500732154
42,0.23664119094610214,0.23664119094610214,0.4325912974309176,3.7069351004902273,11.408872692845762
43,0.23658119589090348,0.23658119589090348,0.3641237039119005,3.222555504180491,11.713113798759878
44,0.23657834827899932,0.23657834827899932,0.3078498994000256,2.823880792129785,12.772380700334907
45,0.2357869952917099,0.2357869952917099,0.4312709905207157,3.260194481117651,11.974385799840093
46,0.2362463131546974,0.2362463131546974,0.35026591503992677,3.7791867915075272,12.274125992553309
47,0.23532650768756866,0.23532650768756866,0.32298799487762153,3.3570653875358403,12.644606397952884
48,0.23717134892940522,0.23717134892940522,0.44148832093924284,4.003635887056589,12.388022779487073
49,0.23560753613710403,0.23560753613710403,0.5360432027373463,4.174996190704405,11.904728692024946
50,0.23736282736063002,0.23736282736063002,0.48140589497052133,3.507989994250238,13.001424196409062
51,0.23531928062438964,0.23531928062438964,0.38160179974511266,3.58874560915865,12.19673310406506
52,0.23675738275051117,0.23675738275051117,0.4550775920506567,4.259828006615862,13.334253401262686
53,0.23729244917631148,0.23729244917631148,0.47479948843829334,4.158925998490304,13.048287690617144
54,0.23557549417018891,0.23557549417018891,0.4464803962036967,4.048857011366636,13.673884997842833
55,0.23626246750354768,0.23626246750354768,0.5228414025623351,3.9236089040059596,12.690216884948313
